region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.31096599,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.29548824,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.42285138,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.41178948,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.5850932,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.6001131,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.47795865,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.58005816,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.41462317,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.7594436,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.2600837,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.31892848,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.68690556,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.37488404,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.44736186,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.31137192,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.6109239,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.57193774,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.6996352,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.79309773,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.0329415,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,1.0633279,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.90398204,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,1.0043743,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,1.0359098,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,1.0333685,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,1.0395212,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.63937545,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,1.0282658,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.92644066,HSf3,year,hot_spell_frequency,,7
03157_Peine,1.0505457,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,1.0108243,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.89249265,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,1.0188216,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.8904593,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.8727675,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.9416921,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.8427473,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.97043204,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.90305686,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.98678565,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.57256305,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.7915727,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,1.0288116,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.90135866,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.76235855,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.7721914,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.88255733,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.6601711,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.9291335,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.8783581,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.7996848,HSf3,year,hot_spell_frequency,,7
