region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.35376280546188354,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.2686178684234619,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.5039361119270325,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.43639618158340454,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.6606045961380005,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.6499440670013428,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.5888310670852661,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.6896383762359619,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.4985923767089844,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.8666818141937256,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.3360612392425537,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.28058284521102905,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.856401801109314,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.45186278223991394,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.5379013419151306,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.3551517426967621,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.7493038773536682,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.6918870806694031,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.8559833765029907,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.9487906694412231,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.2677583694458008,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,1.3136944770812988,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.1274935007095337,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,1.2303557395935059,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,1.2306115627288818,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,1.2508147954940796,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,1.2102510929107666,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.8304805755615234,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,1.2674293518066406,HSf3,year,hot_spell_frequency,,7
03155_Northeim,1.1360433101654053,HSf3,year,hot_spell_frequency,,7
03157_Peine,1.3405512571334839,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,1.224341630935669,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,1.1290546655654907,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,1.2462444305419922,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,1.0465495586395264,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,1.1732077598571777,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,1.1859475374221802,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,1.1188690662384033,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),1.1970587968826294,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,1.1841983795166016,HSf3,year,hot_spell_frequency,,7
03351_Celle,1.1827130317687988,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.627751350402832,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.984160304069519,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,1.1714787483215332,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,1.1156651973724365,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.9131500124931335,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.9175735116004944,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,1.116797685623169,HSf3,year,hot_spell_frequency,,7
