region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,2.31815767288208,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,2.4330153465270996,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,2.806530475616455,HSx3,year,hot_spell_duration,days,7
01002_Kiel,2.4617879390716553,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,3.146439552307129,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,3.3013386726379395,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,2.9410526752471924,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,3.277656316757202,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,3.1283562183380127,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,4.165363788604736,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,2.3368709087371826,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,1.860908031463623,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,3.5977604389190674,HSx3,year,hot_spell_duration,days,7
01057_Plön,2.671203851699829,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,2.893211841583252,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,2.315145492553711,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,3.260362148284912,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,3.429936170578003,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,3.7945220470428467,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,3.987891674041748,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,4.650407791137695,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,4.944070816040039,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.4680681228637695,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,3.8486876487731934,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,5.025043487548828,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,4.692955017089844,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,5.260691165924072,HSx3,year,hot_spell_duration,days,7
03153_Goslar,2.6603357791900635,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,4.577712059020996,HSx3,year,hot_spell_duration,days,7
03155_Northeim,3.6797447204589844,HSx3,year,hot_spell_duration,days,7
03157_Peine,4.801815986633301,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,4.072378158569336,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,3.603719711303711,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,4.360093116760254,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,4.238036155700684,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,3.69938325881958,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,3.518831968307495,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,3.3644375801086426,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),4.342100620269775,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,3.937345027923584,HSx3,year,hot_spell_duration,days,7
03351_Celle,4.510294437408447,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,3.2054145336151123,HSx3,year,hot_spell_duration,days,7
03353_Harburg,4.102773666381836,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,4.72929573059082,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,4.119908809661865,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,3.4906013011932373,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),3.8006985187530518,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,4.013167381286621,HSx3,year,hot_spell_duration,days,7
03359_Stade,3.6552650928497314,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,4.332066535949707,HSx3,year,hot_spell_duration,days,7
03361_Verden,3.806328535079956,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,3.911820411682129,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,3.622725486755371,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,3.3333210945129395,HSx3,year,hot_spell_duration,days,7
03402_Emden,2.964779853820801,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),3.6204586029052734,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),3.653804302215576,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,4.784296989440918,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,4.604276657104492,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,2.793992042541504,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,2.1936182975769043,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,3.570556402206421,HSx3,year,hot_spell_duration,days,7
03452_Aurich,3.192668914794922,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,4.285861492156982,HSx3,year,hot_spell_duration,days,7
03454_Emsland,4.619194984436035,HSx3,year,hot_spell_duration,days,7
03455_Friesland,2.8997561931610107,HSx3,year,hot_spell_duration,days,7
