region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.13262991607189178,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.13333334028720856,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.2005254328250885,HSx3,year,hot_spell_duration,days,7
01002_Kiel,0.20859390497207642,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.3445626497268677,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,0.371367871761322,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.23936162889003754,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,0.30077362060546875,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,0.16463503241539001,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,0.4914148449897766,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.12041283398866653,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.17578190565109253,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,0.4446263313293457,HSx3,year,hot_spell_duration,days,7
01057_Plön,0.18510423600673676,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.19919608533382416,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.1326202005147934,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,0.4026845693588257,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,0.27314749360084534,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,0.550379753112793,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,0.6959898471832275,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.7147476673126221,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,0.6926285028457642,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.6248498558998108,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,0.7022647261619568,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.7035918235778809,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,0.6925148963928223,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,0.7099342346191406,HSx3,year,hot_spell_duration,days,7
03153_Goslar,0.4067457318305969,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,0.6070535182952881,HSx3,year,hot_spell_duration,days,7
03155_Northeim,0.6727302074432373,HSx3,year,hot_spell_duration,days,7
