region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.2714513838291168,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,-0.36666661500930786,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.2387298345565796,HSx3,year,hot_spell_duration,days,7
01002_Kiel,-0.2323591709136963,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.23981040716171265,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,-0.2443932294845581,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.24897879362106323,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,-0.33374646306037903,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,-0.3903772830963135,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.4322255849838257,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,-0.16252875328063965,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,-0.10774374008178711,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,-0.4350978136062622,HSx3,year,hot_spell_duration,days,7
01057_Plön,-0.2604273557662964,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,-0.25272080302238464,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,-0.2715681195259094,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,-0.2720527648925781,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,-0.28360867500305176,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,-0.35284408926963806,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,-0.4579124450683594,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.44821739196777344,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,-0.4300224781036377,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.3144850730895996,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,-0.3978416919708252,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.5077385902404785,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,-0.5678820610046387,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,-0.4742410182952881,HSx3,year,hot_spell_duration,days,7
03153_Goslar,-0.342238187789917,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,-0.5673284530639648,HSx3,year,hot_spell_duration,days,7
03155_Northeim,-0.18404579162597656,HSx3,year,hot_spell_duration,days,7
03157_Peine,-0.19006681442260742,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,-0.45605015754699707,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,-0.16814982891082764,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,-0.3179774284362793,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,-0.34310364723205566,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,-0.39878058433532715,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,-0.3828634023666382,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,-0.17551660537719727,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),-0.29571521282196045,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,-0.2892148494720459,HSx3,year,hot_spell_duration,days,7
03351_Celle,-0.5124980211257935,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,-0.5173344612121582,HSx3,year,hot_spell_duration,days,7
03353_Harburg,-0.44115662574768066,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,-0.8862600326538086,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,-0.5220451354980469,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,-0.5444915890693665,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),-0.47544360160827637,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,-0.2891654968261719,HSx3,year,hot_spell_duration,days,7
03359_Stade,-0.4482215642929077,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,-0.6630752086639404,HSx3,year,hot_spell_duration,days,7
03361_Verden,-0.3431659936904907,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.2415364384651184,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,-0.3327401876449585,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,-0.2849246859550476,HSx3,year,hot_spell_duration,days,7
03402_Emden,-0.2801212668418884,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.3497345447540283,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),-0.3155723810195923,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,-0.2522801160812378,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,-0.4912532567977905,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,-0.2851407527923584,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,-0.34747231006622314,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,-0.41826963424682617,HSx3,year,hot_spell_duration,days,7
03452_Aurich,-0.22122889757156372,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,-0.19467756152153015,HSx3,year,hot_spell_duration,days,7
03454_Emsland,-0.2565910816192627,HSx3,year,hot_spell_duration,days,7
03455_Friesland,-0.2923416495323181,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,-0.328270822763443,HSx3,year,hot_spell_duration,days,7
03457_Leer,-0.36347925662994385,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,-0.21905532479286194,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,-0.26311278343200684,HSx3,year,hot_spell_duration,days,7
03460_Vechta,-0.3136048913002014,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,-0.4613518714904785,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,-0.3222484588623047,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.34018802642822266,HSx3,year,hot_spell_duration,days,7
04011_Bremen,-0.413303017616272,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-0.5038106441497803,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,-0.6056399345397949,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.5071759223937988,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,-0.46131181716918945,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.48103511333465576,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,-0.525226354598999,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.29918158054351807,HSx3,year,hot_spell_duration,days,7
05113_Essen,-0.6099062561988831,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.5026549100875854,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,-0.7054681777954102,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.4494072198867798,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,-0.43270957469940186,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.5273771286010742,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,-0.905333399772644,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.49776506423950195,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,-0.5166751146316528,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.3213420510292053,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,-0.2603781819343567,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.44025319814682007,HSx3,year,hot_spell_duration,days,7
05122_Solingen,-0.29936617612838745,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.24543285369873047,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,-0.22798168659210205,HSx3,year,hot_spell_duration,days,7
05154_Kleve,-0.6121819019317627,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,-0.40222346782684326,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,-0.5924919843673706,HSx3,year,hot_spell_duration,days,7
05166_Viersen,-0.4759349822998047,HSx3,year,hot_spell_duration,days,7
05170_Wesel,-0.4364839792251587,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,-0.22870635986328125,HSx3,year,hot_spell_duration,days,7
05314_Bonn,-0.3233506679534912,HSx3,year,hot_spell_duration,days,7
05315_Köln,-0.388888955116272,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.4715101718902588,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,-0.46039628982543945,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,-0.05398006737232208,HSx3,year,hot_spell_duration,days,7
05358_Düren,-0.10340410470962524,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,-0.29397016763687134,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,-0.09653156250715256,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,-0.30041325092315674,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,-0.21091264486312866,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,-0.6114215850830078,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,-0.21684890985488892,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.3307766914367676,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,-0.4428529739379883,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.25089824199676514,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,-0.5466686487197876,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,-0.17600750923156738,HSx3,year,hot_spell_duration,days,7
05515_Münster,-0.14054042100906372,HSx3,year,hot_spell_duration,days,7
05554_Borken,-0.2860332131385803,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,-0.32205599546432495,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,-0.21235013008117676,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,-0.25374627113342285,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,-0.08503657579421997,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.2518998384475708,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,-0.44900065660476685,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,-0.3028445243835449,HSx3,year,hot_spell_duration,days,7
05758_Herford,-0.3133968114852905,HSx3,year,hot_spell_duration,days,7
05762_Höxter,-0.21339869499206543,HSx3,year,hot_spell_duration,days,7
05766_Lippe,-0.20604848861694336,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,-0.3985831141471863,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,-0.1720428466796875,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.22717535495758057,HSx3,year,hot_spell_duration,days,7
05911_Bochum,-0.3927741050720215,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.15351927280426025,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,-0.2668043375015259,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.17064273357391357,HSx3,year,hot_spell_duration,days,7
05914_Hagen,-0.15464365482330322,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.18167108297348022,HSx3,year,hot_spell_duration,days,7
05915_Hamm,-0.23506081104278564,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,-0.16176903247833252,HSx3,year,hot_spell_duration,days,7
05916_Herne,-0.45202314853668213,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,-0.17451706528663635,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,-0.26885727047920227,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,-0.2042030692100525,HSx3,year,hot_spell_duration,days,7
