region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,HSx3,year,hot_spell_duration,days,7,1
01001_Flensburg,HSx3,year,hot_spell_duration,days,7,1
01002_01057_01058_Region_um_Kiel,HSx3,year,hot_spell_duration,days,7,1
01002_Kiel,HSx3,year,hot_spell_duration,days,7,1
01003_13074_01055_01053_01062_Region_um_Lübeck,HSx3,year,hot_spell_duration,days,7,1
01003_Lübeck,HSx3,year,hot_spell_duration,days,7,1
01004_01058_01060_01057_01002_Region_um_Neumünster,HSx3,year,hot_spell_duration,days,7,1
01004_Neumünster,HSx3,year,hot_spell_duration,days,7,1
01051_Dithmarschen,HSx3,year,hot_spell_duration,days,7,1
01053_Herzogtum Lauenburg,HSx3,year,hot_spell_duration,days,7,1
01054_Nordfriesland,HSx3,year,hot_spell_duration,days,7,1
01055_Ostholstein,HSx3,year,hot_spell_duration,days,7,1
01056_Pinneberg,HSx3,year,hot_spell_duration,days,7,1
01057_Plön,HSx3,year,hot_spell_duration,days,7,1
01058_Rendsburg-Eckernförde,HSx3,year,hot_spell_duration,days,7,1
01059_Schleswig-Flensburg,HSx3,year,hot_spell_duration,days,7,1
01060_Segeberg,HSx3,year,hot_spell_duration,days,7,1
01061_Steinburg,HSx3,year,hot_spell_duration,days,7,1
01062_Stormarn,HSx3,year,hot_spell_duration,days,7,1
02000_Hamburg,HSx3,year,hot_spell_duration,days,7,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,HSx3,year,hot_spell_duration,days,7,1
03101_Braunschweig,HSx3,year,hot_spell_duration,days,7,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,HSx3,year,hot_spell_duration,days,7,1
03102_Salzgitter,HSx3,year,hot_spell_duration,days,7,1
03103_03154_03151_Region_um_Wolfsburg,HSx3,year,hot_spell_duration,days,7,1
03103_Wolfsburg,HSx3,year,hot_spell_duration,days,7,1
03151_Gifhorn,HSx3,year,hot_spell_duration,days,7,1
03153_Goslar,HSx3,year,hot_spell_duration,days,7,1
03154_Helmstedt,HSx3,year,hot_spell_duration,days,7,1
03155_Northeim,HSx3,year,hot_spell_duration,days,7,1
03157_Peine,HSx3,year,hot_spell_duration,days,7,1
03158_Wolfenbüttel,HSx3,year,hot_spell_duration,days,7,1
03159_Göttingen,HSx3,year,hot_spell_duration,days,7,1
03241_Region Hannover,HSx3,year,hot_spell_duration,days,7,1
03251_Diepholz,HSx3,year,hot_spell_duration,days,7,1
03252_Hameln-Pyrmont,HSx3,year,hot_spell_duration,days,7,1
