region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.19680488109588623,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.1666666716337204,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.3156643211841583,HSx3,year,hot_spell_duration,days,7
01002_Kiel,0.30309975147247314,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.5083270072937012,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,0.5042627453804016,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.41999170184135437,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,0.46597981452941895,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,0.3037036657333374,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,0.7086868286132812,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.2052312046289444,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.24753963947296143,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,0.5166816711425781,HSx3,year,hot_spell_duration,days,7
01057_Plön,0.2626365125179291,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.3605926036834717,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.1932329535484314,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,0.5214614868164062,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,0.43325477838516235,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,0.6642646789550781,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,0.7936862707138062,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.0218814611434937,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,0.9842831492424011,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.9139559268951416,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,1.0214650630950928,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,1.0536333322525024,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,0.9144130349159241,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,1.0940775871276855,HSx3,year,hot_spell_duration,days,7
