region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.27501189708709717,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,-0.3022257387638092,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.1537078619003296,HSx3,year,hot_spell_duration,days,7
01002_Kiel,-0.22054189443588257,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.17018267512321472,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,-0.1389804482460022,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.1542661488056183,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,-0.3322165310382843,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,-0.12499503791332245,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.3201380968093872,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,-0.2072482705116272,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,-0.06656785309314728,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,-0.12033918499946594,HSx3,year,hot_spell_duration,days,7
01057_Plön,-0.09736233949661255,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,-0.2103538066148758,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,-0.27429819107055664,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,-0.14493530988693237,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,-0.24330756068229675,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,-0.26587963104248047,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,-0.15949994325637817,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.2951560914516449,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,-0.309026837348938,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.10577169060707092,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,-0.07573416829109192,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.38926196098327637,HSx3,year,hot_spell_duration,days,7
