region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,3.575226306915283,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,3.968944787979126,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,4.0412726402282715,HSx3,year,hot_spell_duration,days,7
01002_Kiel,4.327800273895264,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,4.685766696929932,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,4.933567047119141,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,4.394546985626221,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,5.295260429382324,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,3.8610708713531494,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,5.757778644561768,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,2.8818445205688477,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,3.178770065307617,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,5.435410022735596,HSx3,year,hot_spell_duration,days,7
01057_Plön,3.883239984512329,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,4.275314807891846,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,3.5649003982543945,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,5.240251541137695,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,4.928630352020264,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,5.437656402587891,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,5.764480113983154,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,6.925948619842529,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,6.833179950714111,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,6.622495651245117,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,7.244028091430664,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,6.800840854644775,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,7.078307628631592,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,6.7440338134765625,HSx3,year,hot_spell_duration,days,7
03153_Goslar,5.565532684326172,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,7.062330722808838,HSx3,year,hot_spell_duration,days,7
03155_Northeim,6.841747283935547,HSx3,year,hot_spell_duration,days,7
03157_Peine,7.144063472747803,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,7.114390850067139,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,6.670249938964844,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,6.819008827209473,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,6.099442958831787,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,6.649550437927246,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,6.7903008460998535,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,6.649935722351074,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),6.4747700691223145,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,6.852231502532959,HSx3,year,hot_spell_duration,days,7
03351_Celle,6.570242881774902,HSx3,year,hot_spell_duration,days,7
