region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.3641231,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,1.4324292,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.7110488,HSx3,year,hot_spell_duration,days,7
01002_Kiel,1.6685005,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,2.1700716,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,2.1428201,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.9010088,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,2.2571733,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,1.6490726,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,2.8421035,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,1.1162145,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,1.300306,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,2.5749207,HSx3,year,hot_spell_duration,days,7
01057_Plön,1.5482806,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.794501,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,1.3623319,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,2.3590982,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,2.2174706,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,2.6546688,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,2.928087,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.64316,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,3.7400656,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.3663816,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,3.5770993,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,3.6402197,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,3.657147,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,3.651468,HSx3,year,hot_spell_duration,days,7
03153_Goslar,2.6986227,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,3.6087341,HSx3,year,hot_spell_duration,days,7
03155_Northeim,3.5357199,HSx3,year,hot_spell_duration,days,7
