region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.31714755296707153,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-0.26257526874542236,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-0.3767756223678589,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-0.49972403049468994,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-0.015721440315246582,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.4645897150039673,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,0.1354672908782959,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-0.21362078189849854,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-0.33410584926605225,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.2866281569004059,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-0.1661510467529297,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-0.5353450179100037,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-0.21654170751571655,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-0.5549187660217285,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-0.3990325927734375,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-0.1636437177658081,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-0.20477890968322754,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-0.08240759372711182,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,0.020491838455200195,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-0.39093685150146484,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-0.7330641746520996,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-0.22903680801391602,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-0.2140049934387207,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-0.07614779472351074,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-0.23446345329284668,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-0.05842316150665283,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,0.03390491008758545,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-0.38353896141052246,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-0.28243446350097656,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-0.2306809425354004,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-0.1934417486190796,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-0.0069089531898498535,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-0.23296380043029785,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,0.0036122798919677734,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,0.05615389347076416,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-0.28732752799987793,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-0.039348602294921875,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-0.11709487438201904,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,0.05895727872848511,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-0.11425912380218506,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-0.16798317432403564,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-0.23802202939987183,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-0.03158533573150635,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-0.06560403108596802,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,0.021718978881835938,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,0.13928693532943726,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),0.16785162687301636,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-0.1831268072128296,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,0.14019231498241425,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,0.1951776146888733,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,0.16250568628311157,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,0.13342779874801636,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,0.1835777759552002,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,0.09426337480545044,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,0.20603609085083008,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,0.2181079387664795,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-0.0037156343460083008,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-0.05813956260681152,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,0.04726767539978027,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,0.11177891492843628,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,0.15010371804237366,LFD,year,days_with_air_temperature_below_threshold,days,7
