region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-2.6378942,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-2.4914412,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-2.551316,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-2.6926112,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-2.1866255,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-2.6686032,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-1.9714955,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-2.191365,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-2.497898,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-2.5962346,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-2.5248125,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-2.7166831,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-2.4737396,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-2.6728084,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-2.2581086,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-2.1550744,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-2.1724465,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-2.3558574,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-2.4808192,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-2.786626,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-3.1907587,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-2.3456984,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-2.5851905,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-2.181471,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-2.2451823,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-2.2138503,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-2.26448,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-2.4684906,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-2.3398495,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-2.6366367,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-2.3956208,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-2.2510433,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-2.302198,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-2.5401785,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-2.2187269,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-2.5741293,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-2.5528207,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-2.5596414,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-2.3490994,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-2.4594448,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-2.5693285,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-2.3825583,LFD,year,days_with_air_temperature_below_threshold,days,7
