region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-2.532379627227783,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-1.9644410610198975,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-2.384181499481201,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-2.576903820037842,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-1.8036186695098877,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-2.5156686305999756,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-1.7693135738372803,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-1.866881012916565,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-2.3300724029541016,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-2.4757938385009766,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-2.406604290008545,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-2.4484119415283203,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-2.19490647315979,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-2.512333393096924,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-2.0619874000549316,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-1.7486869096755981,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-1.8088339567184448,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-1.9128888845443726,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-2.1943860054016113,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-2.5247364044189453,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-3.0186944007873535,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-1.934950828552246,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-2.351982831954956,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-1.7890143394470215,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-1.8537890911102295,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-1.8019883632659912,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-1.9365124702453613,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-2.114530324935913,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-2.037933349609375,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-2.3804030418395996,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-2.199770450592041,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-1.798194169998169,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-1.8986653089523315,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-2.3987491130828857,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-1.8410634994506836,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-2.405085563659668,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-2.3445684909820557,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-2.459949493408203,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-2.0859947204589844,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-2.21376371383667,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-2.329129219055176,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-2.095062255859375,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-2.4669907093048096,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-1.9284892082214355,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-1.879021167755127,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-1.1677402257919312,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-1.8509469032287598,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-1.6852209568023682,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-1.0012993812561035,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-2.00502872467041,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-1.4102410078048706,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-1.8083891868591309,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-1.7244596481323242,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-1.4971842765808105,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-1.592588186264038,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-1.7434314489364624,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-1.9845757484436035,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-1.8681151866912842,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-1.8395037651062012,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-1.5063676834106445,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-1.4913997650146484,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-1.6847951412200928,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-1.665879487991333,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-0.84546959400177,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-0.9816144704818726,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-1.030463695526123,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-0.8536026477813721,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-0.8992464542388916,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-1.2408535480499268,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-1.0941689014434814,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-1.645342230796814,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-1.3369674682617188,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-1.5018794536590576,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-1.1532849073410034,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-1.290309190750122,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-0.8891122341156006,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-1.0311088562011719,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-1.1362252235412598,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-1.0851988792419434,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-0.7739959359169006,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-1.0458155870437622,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-1.8129405975341797,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-1.3403472900390625,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-0.8876990079879761,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-2.1267850399017334,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-1.02492094039917,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-1.9232654571533203,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-1.2669047117233276,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-1.3803991079330444,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-1.1818957328796387,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-1.0432796478271484,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-1.5786490440368652,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-1.5845060348510742,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-1.6072523593902588,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-1.410112738609314,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-1.6407623291015625,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-1.5959038734436035,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-1.761289358139038,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-1.7364039421081543,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-1.7122864723205566,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-2.3701376914978027,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-2.0812747478485107,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-1.715322732925415,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-2.010599136352539,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-1.1234734058380127,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-1.253974437713623,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-1.9291210174560547,LFD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-1.3588411808013916,LFD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-1.0274759531021118,LFD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-1.7125606536865234,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-2.784491777420044,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-2.1184043884277344,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-2.3128395080566406,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-2.604085922241211,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-1.734422206878662,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-1.4042210578918457,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-1.0134199857711792,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-0.8512474298477173,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-0.9130952954292297,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-1.082045555114746,LFD,year,days_with_air_temperature_below_threshold,days,7
