region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-8.792369842529297,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-9.545730590820312,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-8.659616470336914,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-8.941347122192383,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-7.256688117980957,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-8.892704010009766,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-6.276055335998535,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-7.7242937088012695,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-8.783641815185547,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-8.645660400390625,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-8.140863418579102,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-9.060638427734375,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-8.755622863769531,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-8.557170867919922,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-7.000775337219238,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-8.144294738769531,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-7.499151229858398,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-8.264581680297852,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-8.60882568359375,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-8.85947036743164,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-8.137779235839844,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-8.49913215637207,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-8.924951553344727,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-8.131494522094727,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-7.821403503417969,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-8.308555603027344,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-8.087530136108398,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-9.170093536376953,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-8.776914596557617,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-8.792476654052734,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-7.889713287353516,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-8.556144714355469,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-8.411285400390625,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-8.131959915161133,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-6.734745025634766,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-7.995458602905273,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-8.453027725219727,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-8.15064811706543,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-7.493083953857422,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-8.012588500976562,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-8.238245010375977,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-8.109748840332031,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-8.060638427734375,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-8.736892700195312,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-8.187252044677734,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-5.086780071258545,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-7.444620132446289,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-7.754058837890625,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-4.647684097290039,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-7.230108261108398,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-5.622106552124023,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-7.33881950378418,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-7.284909248352051,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-6.896636962890625,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-6.976009368896484,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-7.006933212280273,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-7.561168670654297,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-7.576699256896973,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-7.433650970458984,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-6.528358459472656,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-6.279632568359375,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-6.444892883300781,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-6.244244575500488,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-3.666774272918701,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-3.54854154586792,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-4.181631565093994,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-5.3611249923706055,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-6.366204261779785,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-4.513551235198975,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-3.638453483581543,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-6.574483871459961,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-5.294921875,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-6.051176071166992,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-7.023663520812988,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-4.663466453552246,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-4.397321701049805,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-6.156927108764648,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-6.610106468200684,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-4.497614860534668,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-3.6844987869262695,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-3.9328885078430176,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-6.773149490356445,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-6.009067535400391,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-4.876823902130127,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-7.882259368896484,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-6.040424346923828,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-7.402273178100586,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-5.65566349029541,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-5.285902976989746,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-4.150885581970215,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-4.163936138153076,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-6.955146789550781,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-6.985711097717285,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-6.669428825378418,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-4.702867031097412,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-7.337883949279785,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-7.3784685134887695,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-6.292107582092285,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-7.786255836486816,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-7.932241439819336,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-9.325857162475586,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-8.114578247070312,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-8.26380729675293,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-7.792620658874512,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-4.160686492919922,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-4.4886794090271,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-6.226875305175781,LFD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-6.339001655578613,LFD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-4.1235246658325195,LFD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-6.025864601135254,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-8.949007034301758,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-7.720636367797852,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-8.484498977661133,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-8.796653747558594,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-6.898674011230469,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-4.799544334411621,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-4.981284141540527,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-5.1311140060424805,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-4.620068550109863,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-5.221447944641113,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-4.731566429138184,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-4.888190269470215,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-4.950119972229004,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-6.226996421813965,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-6.723243713378906,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-5.6034088134765625,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-5.947797775268555,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-4.626599311828613,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-7.031928062438965,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-7.2700347900390625,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-7.923784255981445,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-7.973302841186523,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-7.535320281982422,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-8.823562622070312,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-8.041770935058594,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-8.817392349243164,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-8.006193161010742,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-8.359830856323242,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-9.216484069824219,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-8.577516555786133,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-9.091337203979492,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-8.984779357910156,LFD,year,days_with_air_temperature_below_threshold,days,7
