region,LFD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-3.2691278,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-3.0753458,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-3.1860619,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-3.3699183,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-2.709011,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-3.3346403,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-2.4231987,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-2.7062986,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-3.0944276,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-3.2274933,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-3.1313713,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-3.4102767,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-3.0852263,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-3.3391423,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-2.8158903,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-2.6282296,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-2.6492786,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-2.8771772,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-3.028652,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-3.4610085,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-3.9168377,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-2.8845744,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-3.2319925,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-2.660643,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-2.757232,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-2.7327795,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-2.8087554,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-3.0388694,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-2.8714404,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-3.2729836,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-2.9837422,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-2.777261,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-2.8230817,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-3.1222725,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-2.7802303,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-3.222107,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-3.1648386,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-3.1951575,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-2.951741,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-3.0591862,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-3.1777067,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-2.9728048,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-3.2472029,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-2.8776696,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-2.6886256,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-1.9929036,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-2.7343497,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-2.5699914,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-1.8517864,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-2.8556714,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-2.1660357,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-2.7378278,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-2.4856286,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-2.428458,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-2.38755,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-2.6486895,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-2.7967346,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-2.6564627,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-2.6951604,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-2.5949285,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-2.3164039,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-2.5379937,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-2.484136,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-1.4542758,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-1.5060979,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-1.7139286,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-1.5479205,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-1.6377628,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-1.724408,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-1.5890667,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-2.3851945,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-1.8317829,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-2.1569965,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-1.816465,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-1.7595555,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-1.495757,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-1.6845496,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-1.8442591,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-1.7659409,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-1.4369618,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-1.5879986,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-2.5992143,LFD,year,days_with_air_temperature_below_threshold,days,7
