region,LFD_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-3.1320018768310547,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-2.6783413887023926,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-3.0137040615081787,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-3.2979977130889893,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-2.4020960330963135,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-3.1989240646362305,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-2.2065353393554688,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-2.3085074424743652,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-2.781067371368408,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-3.029343366622925,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-2.9096851348876953,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-3.3656556606292725,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-2.8643059730529785,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-3.1911118030548096,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-2.736997127532959,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-2.2457027435302734,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-2.3859810829162598,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-2.653197765350342,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-2.918710947036743,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-3.2648050785064697,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-3.905923843383789,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-2.6776528358459473,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-3.0503089427948,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-2.249464511871338,LFD,year,days_with_air_temperature_below_threshold,days,7
