region,LFD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-9.695869445800781,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-10.377695083618164,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-9.404855728149414,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-9.498750686645508,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-7.579339027404785,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-9.174151420593262,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-6.744471549987793,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-8.808050155639648,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-9.563789367675781,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-9.133934020996094,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-9.048279762268066,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-9.338909149169922,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-8.95368480682373,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-9.010184288024902,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-7.874326705932617,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-7.993760108947754,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-7.691855430603027,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-7.82780647277832,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-8.404014587402344,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-8.421972274780273,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-7.496419906616211,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-7.953252792358398,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-8.646110534667969,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-8.208828926086426,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-7.674415588378906,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-7.960445404052734,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-8.591031074523926,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-8.47195053100586,LFD,year,days_with_air_temperature_below_threshold,days,7
