region,ci_name,ci_frequency,standard_name,units,mid_month,LFD_year_4C_rcp85_ensemble-robustness
01001_Flensburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01002_Kiel,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01003_Lübeck,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01004_Neumünster,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01051_Dithmarschen,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01053_Herzogtum Lauenburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01054_Nordfriesland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01055_Ostholstein,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01057_Plön,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01058_Rendsburg-Eckernförde,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01059_Schleswig-Flensburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01060_Segeberg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01061_Steinburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01062_Stormarn,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
02000_Hamburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03101_Braunschweig,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03102_Salzgitter,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03103_Wolfsburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03151_Gifhorn,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03159_Göttingen,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03153_Goslar,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03154_Helmstedt,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03155_Northeim,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03157_Peine,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03158_Wolfenbüttel,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03241_Region Hannover,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03251_Diepholz,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03252_Hameln-Pyrmont,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03254_Hildesheim,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03255_Holzminden,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
01056_Pinneberg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03256_Nienburg (Weser),LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03257_Schaumburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03351_Celle,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03352_Cuxhaven,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03353_Harburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03354_Lüchow-Dannenberg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03355_Lüneburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03356_Osterholz,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03357_Rotenburg (Wümme),LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03358_Heidekreis,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03359_Stade,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03360_Uelzen,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03361_Verden,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03401_Delmenhorst,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03402_Emden,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03403_Oldenburg (Oldb),LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03404_Osnabrück,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03405_Wilhelmshaven,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03451_Ammerland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03452_Aurich,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03453_Cloppenburg,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03454_Emsland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03455_Friesland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
03456_Grafschaft Bentheim,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
