region,LFD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.6333333253860474,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-0.5462856292724609,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-0.6810821890830994,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-0.8174809813499451,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-0.41763144731521606,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.7598069906234741,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-0.37431085109710693,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-0.3859782814979553,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-0.5186223983764648,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.5828237533569336,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-0.5451370477676392,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-0.8188027739524841,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-0.4769478440284729,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-0.8421971201896667,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-0.8190395832061768,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-0.7310442924499512,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-1.0556315183639526,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-1.0577170848846436,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-0.794222891330719,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-1.7115486860275269,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-3.0387394428253174,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-1.1705178022384644,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-1.4251041412353516,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-0.7229692935943604,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-1.067474603652954,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-0.758629560470581,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-0.7978529334068298,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-1.272765040397644,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-1.3820044994354248,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-1.6818569898605347,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-0.5825597643852234,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-0.6688193678855896,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-1.2058534622192383,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-0.732880175113678,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-0.5138583183288574,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-0.8911317586898804,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-0.7598459124565125,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-0.8083698153495789,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-0.573375403881073,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-0.7550099492073059,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-0.8159181475639343,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-0.6983642578125,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-0.8831856846809387,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-0.6686741709709167,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-0.684039294719696,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-0.1264369636774063,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-0.5731351971626282,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-0.9708172678947449,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-0.059807684272527695,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-0.4376418888568878,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-0.2797969877719879,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-0.5779211521148682,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-0.4443049132823944,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-0.3590361177921295,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-0.493292897939682,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-0.3332112729549408,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-0.716113805770874,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-0.779781699180603,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-0.6225013732910156,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-0.38703829050064087,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-0.28976863622665405,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-0.5888416171073914,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-0.4385359287261963,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-0.2550198435783386,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-0.19069135189056396,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-0.305751234292984,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-0.2334551066160202,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-0.4755205512046814,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-0.41931450366973877,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-0.10595651715993881,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-1.1691930294036865,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-0.7267551422119141,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-0.9300196170806885,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-0.39627283811569214,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-0.4404008984565735,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-0.38434940576553345,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-0.46333765983581543,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-0.585031270980835,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-0.6857061386108398,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-0.3242630660533905,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-0.44007259607315063,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-1.6844123601913452,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-0.9687774181365967,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-0.6362172961235046,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-2.0337436199188232,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-0.5789802074432373,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-1.2220317125320435,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-0.8276209831237793,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-1.0786325931549072,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-0.10146043449640274,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-0.11082136631011963,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-0.7390508651733398,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-0.5939765572547913,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-0.6642681956291199,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-0.517867922782898,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-0.673528790473938,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-0.7817106246948242,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-1.022375226020813,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-0.8665691614151001,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-1.0179922580718994,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-1.4064639806747437,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-1.4149068593978882,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-0.8807069063186646,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-1.6733487844467163,LFD,year,days_with_air_temperature_below_threshold,days,7
