region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,RRm,year,precipitation,mm day-1,7,1.0
01001_Flensburg,RRm,year,precipitation,mm day-1,7,1.0
01002_01057_01058_Region_um_Kiel,RRm,year,precipitation,mm day-1,7,1.0
01002_Kiel,RRm,year,precipitation,mm day-1,7,1.0
01003_13074_01055_01053_01062_Region_um_Lübeck,RRm,year,precipitation,mm day-1,7,1.0
01003_Lübeck,RRm,year,precipitation,mm day-1,7,1.0
01004_01058_01060_01057_01002_Region_um_Neumünster,RRm,year,precipitation,mm day-1,7,1.0
01004_Neumünster,RRm,year,precipitation,mm day-1,7,1.0
01051_Dithmarschen,RRm,year,precipitation,mm day-1,7,1.0
01053_Herzogtum Lauenburg,RRm,year,precipitation,mm day-1,7,1.0
01054_Nordfriesland,RRm,year,precipitation,mm day-1,7,1.0
01055_Ostholstein,RRm,year,precipitation,mm day-1,7,1.0
01056_Pinneberg,RRm,year,precipitation,mm day-1,7,1.0
01057_Plön,RRm,year,precipitation,mm day-1,7,1.0
01058_Rendsburg-Eckernförde,RRm,year,precipitation,mm day-1,7,1.0
01059_Schleswig-Flensburg,RRm,year,precipitation,mm day-1,7,1.0
01060_Segeberg,RRm,year,precipitation,mm day-1,7,1.0
01061_Steinburg,RRm,year,precipitation,mm day-1,7,1.0
01062_Stormarn,RRm,year,precipitation,mm day-1,7,1.0
02000_Hamburg,RRm,year,precipitation,mm day-1,7,1.0
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,RRm,year,precipitation,mm day-1,7,1.0
03101_Braunschweig,RRm,year,precipitation,mm day-1,7,1.0
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,RRm,year,precipitation,mm day-1,7,1.0
03102_Salzgitter,RRm,year,precipitation,mm day-1,7,1.0
03103_03154_03151_Region_um_Wolfsburg,RRm,year,precipitation,mm day-1,7,1.0
03103_Wolfsburg,RRm,year,precipitation,mm day-1,7,1.0
03151_Gifhorn,RRm,year,precipitation,mm day-1,7,1.0
03153_Goslar,RRm,year,precipitation,mm day-1,7,1.0
03154_Helmstedt,RRm,year,precipitation,mm day-1,7,1.0
03155_Northeim,RRm,year,precipitation,mm day-1,7,1.0
03157_Peine,RRm,year,precipitation,mm day-1,7,1.0
03158_Wolfenbüttel,RRm,year,precipitation,mm day-1,7,1.0
03159_Göttingen,RRm,year,precipitation,mm day-1,7,1.0
03241_Region Hannover,RRm,year,precipitation,mm day-1,7,1.0
03251_Diepholz,RRm,year,precipitation,mm day-1,7,1.0
03252_Hameln-Pyrmont,RRm,year,precipitation,mm day-1,7,1.0
