region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.2477247714996338,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.29154539108276367,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.26697468757629395,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.25413036346435547,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.28188061714172363,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.3050682544708252,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.2800784111022949,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.2950420379638672,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.6765244007110596,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.2945992946624756,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.5304145812988281,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.2686197757720947,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.30023884773254395,RRm,year,precipitation,mm day-1,7
01057_Plön,0.27239489555358887,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.26499319076538086,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.24657607078552246,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.3122580051422119,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.3372035026550293,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.30794310569763184,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.2999262809753418,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.29816126823425293,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.29990601539611816,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.31011295318603516,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.2829172611236572,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.3334176540374756,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.3381977081298828,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.35288119316101074,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.36336565017700195,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.2865121364593506,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.2983095645904541,RRm,year,precipitation,mm day-1,7
03157_Peine,0.2851552963256836,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.2691774368286133,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.2974252700805664,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.31092166900634766,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.3178412914276123,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.3389749526977539,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.3158762454986572,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.339017391204834,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.3242976665496826,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.34998321533203125,RRm,year,precipitation,mm day-1,7
03351_Celle,0.33391690254211426,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.3320009708404541,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.32785892486572266,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.31617164611816406,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.30464887619018555,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.3158583641052246,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.3267803192138672,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.35097193717956543,RRm,year,precipitation,mm day-1,7
03359_Stade,0.30437159538269043,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.31894516944885254,RRm,year,precipitation,mm day-1,7
03361_Verden,0.30655837059020996,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.30185580253601074,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.28650641441345215,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.2929666042327881,RRm,year,precipitation,mm day-1,7
03402_Emden,0.36695194244384766,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.286043643951416,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.28886842727661133,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.3104078769683838,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.29649806022644043,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.28104424476623535,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.30933570861816406,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.28090882301330566,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.3422517776489258,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.2816445827484131,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.29989123344421387,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.28280186653137207,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.32605719566345215,RRm,year,precipitation,mm day-1,7
03457_Leer,0.28333353996276855,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.29871034622192383,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.3081212043762207,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.3042306900024414,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.27425646781921387,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.29052019119262695,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.30106139183044434,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.28919148445129395,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.30889463424682617,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.4693284034729004,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.28473734855651855,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.31355905532836914,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.2441260814666748,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.24706244468688965,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.2953827381134033,RRm,year,precipitation,mm day-1,7
05113_Essen,0.29392576217651367,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.22537541389465332,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.24602317810058594,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.24692940711975098,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.24290871620178223,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.2641153335571289,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.27342796325683594,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.2532973289489746,RRm,year,precipitation,mm day-1,7
05119_Oberhausen,0.27397680282592773,RRm,year,precipitation,mm day-1,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.3326859474182129,RRm,year,precipitation,mm day-1,7
05120_Remscheid,0.33786535263061523,RRm,year,precipitation,mm day-1,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.32459449768066406,RRm,year,precipitation,mm day-1,7
05122_Solingen,0.38931798934936523,RRm,year,precipitation,mm day-1,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.2845306396484375,RRm,year,precipitation,mm day-1,7
05124_Wuppertal,0.30184459686279297,RRm,year,precipitation,mm day-1,7
05154_Kleve,0.23733901977539062,RRm,year,precipitation,mm day-1,7
05158_Mettmann,0.30057716369628906,RRm,year,precipitation,mm day-1,7
05162_Rhein-Kreis Neuss,0.2968432903289795,RRm,year,precipitation,mm day-1,7
05166_Viersen,0.21065163612365723,RRm,year,precipitation,mm day-1,7
05170_Wesel,0.24323034286499023,RRm,year,precipitation,mm day-1,7
05314_05382_Region_um_Bonn,0.31056952476501465,RRm,year,precipitation,mm day-1,7
05314_Bonn,0.3147308826446533,RRm,year,precipitation,mm day-1,7
05315_Köln,0.376354455947876,RRm,year,precipitation,mm day-1,7
05316_05315_05378_05158_Region_um_Leverkusen,0.33405232429504395,RRm,year,precipitation,mm day-1,7
05316_Leverkusen,0.37152957916259766,RRm,year,precipitation,mm day-1,7
