region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.078654006,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.06845583,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.08548431,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.077849776,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.08169914,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.07987674,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.08326685,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.08409621,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.1413167,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.07482692,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.11238587,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.09003387,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.08821013,RRm,year,precipitation,mm day-1,7
01057_Plön,0.08393273,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.08668396,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.078921504,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.07761846,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.10325816,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.07415188,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.080537684,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.07418442,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.07834813,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.06901257,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.07362065,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.073613785,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.07180253,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.074466154,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.054665852,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.072184265,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.06437381,RRm,year,precipitation,mm day-1,7
03157_Peine,0.07702598,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.07308354,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.062327195,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.075220264,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.065119766,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.06172606,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.072108634,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.061133496,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.07072228,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.065714344,RRm,year,precipitation,mm day-1,7
03351_Celle,0.07362038,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.09426149,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.07358521,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.07441874,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.07404459,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.06486503,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.071790785,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.07060148,RRm,year,precipitation,mm day-1,7
03359_Stade,0.08308236,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.07165912,RRm,year,precipitation,mm day-1,7
03361_Verden,0.06932705,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.06413363,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.0604137,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.07496151,RRm,year,precipitation,mm day-1,7
03402_Emden,0.08894631,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.060645584,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.05680244,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.04940353,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.044297136,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.06667623,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.08655662,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.05443949,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.08721052,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.055544093,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.052841473,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.06317408,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.049606316,RRm,year,precipitation,mm day-1,7
03457_Leer,0.058486503,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.059524912,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.04968674,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.05544508,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.067968905,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.07618633,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.07499663,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.06390145,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.086939044,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.09535639,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.050140556,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.052095875,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.047260907,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.049114928,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.04199576,RRm,year,precipitation,mm day-1,7
05113_Essen,0.040733475,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.048077945,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.047957014,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.04617868,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.046159253,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.04520001,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.045468,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.046356104,RRm,year,precipitation,mm day-1,7
05119_Oberhausen,0.047222268,RRm,year,precipitation,mm day-1,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.035515893,RRm,year,precipitation,mm day-1,7
05120_Remscheid,0.025819791,RRm,year,precipitation,mm day-1,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.04145441,RRm,year,precipitation,mm day-1,7
05122_Solingen,0.042442463,RRm,year,precipitation,mm day-1,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.034133147,RRm,year,precipitation,mm day-1,7
05124_Wuppertal,0.028887823,RRm,year,precipitation,mm day-1,7
05154_Kleve,0.047113176,RRm,year,precipitation,mm day-1,7
05158_Mettmann,0.044777673,RRm,year,precipitation,mm day-1,7
05162_Rhein-Kreis Neuss,0.053655244,RRm,year,precipitation,mm day-1,7
05166_Viersen,0.044203904,RRm,year,precipitation,mm day-1,7
05170_Wesel,0.046878528,RRm,year,precipitation,mm day-1,7
05314_05382_Region_um_Bonn,0.057194415,RRm,year,precipitation,mm day-1,7
05314_Bonn,0.06443636,RRm,year,precipitation,mm day-1,7
05315_Köln,0.06419978,RRm,year,precipitation,mm day-1,7
05316_05315_05378_05158_Region_um_Leverkusen,0.05167984,RRm,year,precipitation,mm day-1,7
05316_Leverkusen,0.058518384,RRm,year,precipitation,mm day-1,7
05334_Städteregion Aachen,0.022591129,RRm,year,precipitation,mm day-1,7
05358_Düren,0.042406436,RRm,year,precipitation,mm day-1,7
05362_Rhein-Erft-Kreis,0.05710142,RRm,year,precipitation,mm day-1,7
05366_Euskirchen,0.03277716,RRm,year,precipitation,mm day-1,7
05370_Heinsberg,0.041153908,RRm,year,precipitation,mm day-1,7
05374_Oberbergischer Kreis,0.031953853,RRm,year,precipitation,mm day-1,7
05378_Rheinisch-Bergischer Kreis,0.045550775,RRm,year,precipitation,mm day-1,7
05382_Rhein-Sieg-Kreis,0.056287058,RRm,year,precipitation,mm day-1,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.045611378,RRm,year,precipitation,mm day-1,7
05512_Bottrop,0.046254154,RRm,year,precipitation,mm day-1,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.044099092,RRm,year,precipitation,mm day-1,7
05513_Gelsenkirchen,0.04666471,RRm,year,precipitation,mm day-1,7
05515_05566_05558_05570_Region_um_Münster,0.04746049,RRm,year,precipitation,mm day-1,7
05515_Münster,0.04612592,RRm,year,precipitation,mm day-1,7
05554_Borken,0.046844583,RRm,year,precipitation,mm day-1,7
05558_Coesfeld,0.042654607,RRm,year,precipitation,mm day-1,7
05562_Recklinghausen,0.044811044,RRm,year,precipitation,mm day-1,7
05566_Steinfurt,0.049416397,RRm,year,precipitation,mm day-1,7
05570_Warendorf,0.049153633,RRm,year,precipitation,mm day-1,7
05711_05754_05758_05766_Region_um_Bielefeld,0.055944193,RRm,year,precipitation,mm day-1,7
05711_Bielefeld,0.056629106,RRm,year,precipitation,mm day-1,7
05754_Gütersloh,0.057056773,RRm,year,precipitation,mm day-1,7
05758_Herford,0.059597965,RRm,year,precipitation,mm day-1,7
05762_Höxter,0.05340702,RRm,year,precipitation,mm day-1,7
05766_Lippe,0.053588387,RRm,year,precipitation,mm day-1,7
05770_Minden-Lübbecke,0.0655624,RRm,year,precipitation,mm day-1,7
05774_Paderborn,0.052058555,RRm,year,precipitation,mm day-1,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.04136786,RRm,year,precipitation,mm day-1,7
05911_Bochum,0.04097533,RRm,year,precipitation,mm day-1,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.041560583,RRm,year,precipitation,mm day-1,7
05913_Dortmund,0.04599446,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.035467524,RRm,year,precipitation,mm day-1,7
05914_Hagen,0.031933304,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.047751542,RRm,year,precipitation,mm day-1,7
05915_Hamm,0.047624145,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,0.04455191,RRm,year,precipitation,mm day-1,7
05916_Herne,0.046018478,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,0.030177878,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,0.031110225,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,0.0300646,RRm,year,precipitation,mm day-1,7
05966_Olpe,0.02986268,RRm,year,precipitation,mm day-1,7
05970_Siegen-Wittgenstein,0.03130908,RRm,year,precipitation,mm day-1,7
05974_Soest,0.051386382,RRm,year,precipitation,mm day-1,7
05978_Unna,0.04585648,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,0.057381235,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,0.05771688,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.057862796,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,0.060594123,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.05406266,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,0.05876286,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.06474205,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,0.07134541,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,0.05570092,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,0.056233607,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,0.06567358,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,0.05829787,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,0.051410504,RRm,year,precipitation,mm day-1,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.06313234,RRm,year,precipitation,mm day-1,7
06436_Main-Taunus-Kreis,0.066525295,RRm,year,precipitation,mm day-1,7
06437_Odenwaldkreis,0.042806342,RRm,year,precipitation,mm day-1,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.05523037,RRm,year,precipitation,mm day-1,7
06438_Offenbach,0.05948062,RRm,year,precipitation,mm day-1,7
06439_Rheingau-Taunus-Kreis,0.06237729,RRm,year,precipitation,mm day-1,7
