region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.10219073295593262,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.07360959053039551,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.08248281478881836,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.0744624137878418,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.06400418281555176,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.06020188331604004,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.07341325283050537,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.06908154487609863,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.12727785110473633,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.0677480697631836,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.1111907958984375,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.06238961219787598,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.08632147312164307,RRm,year,precipitation,mm day-1,7
01057_Plön,0.07214665412902832,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.09410107135772705,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.10338711738586426,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.06953930854797363,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.08868706226348877,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.07108795642852783,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.0717158317565918,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.055068016052246094,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.05333757400512695,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.06659889221191406,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.06262755393981934,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.052628517150878906,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.054166316986083984,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.05241703987121582,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.05734539031982422,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.056774139404296875,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.06597113609313965,RRm,year,precipitation,mm day-1,7
03157_Peine,0.05626845359802246,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.06570839881896973,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.06327366828918457,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.05162835121154785,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.05318951606750488,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.05112290382385254,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.06894993782043457,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.04424643516540527,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.05160069465637207,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.04121661186218262,RRm,year,precipitation,mm day-1,7
03351_Celle,0.057045698165893555,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.09778833389282227,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.06782221794128418,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.05530679225921631,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.06661581993103027,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.05964374542236328,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.06602978706359863,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.06143379211425781,RRm,year,precipitation,mm day-1,7
03359_Stade,0.08608448505401611,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.05218946933746338,RRm,year,precipitation,mm day-1,7
03361_Verden,0.0638132095336914,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.0579981803894043,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.06831097602844238,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.07017016410827637,RRm,year,precipitation,mm day-1,7
03402_Emden,0.06727886199951172,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.059678077697753906,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.0431056022644043,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.03649115562438965,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.04228687286376953,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.07291364669799805,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.08896803855895996,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.04061317443847656,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.07345163822174072,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.05421280860900879,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.04357624053955078,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.0673670768737793,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.03312945365905762,RRm,year,precipitation,mm day-1,7
03457_Leer,0.0597691535949707,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.04902768135070801,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.04192209243774414,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.05023598670959473,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.07222270965576172,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.08553445339202881,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.07401680946350098,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.06311249732971191,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.09441637992858887,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.09793877601623535,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.04493236541748047,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.049538373947143555,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.03653073310852051,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.03953695297241211,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.040216684341430664,RRm,year,precipitation,mm day-1,7
05113_Essen,0.0417633056640625,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.03363370895385742,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.035451650619506836,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.034023284912109375,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.036527156829833984,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.03914022445678711,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.04651832580566406,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.03829026222229004,RRm,year,precipitation,mm day-1,7
05119_Oberhausen,0.04390859603881836,RRm,year,precipitation,mm day-1,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.037499427795410156,RRm,year,precipitation,mm day-1,7
05120_Remscheid,0.04486227035522461,RRm,year,precipitation,mm day-1,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.04574155807495117,RRm,year,precipitation,mm day-1,7
05122_Solingen,0.04592323303222656,RRm,year,precipitation,mm day-1,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.03769803047180176,RRm,year,precipitation,mm day-1,7
05124_Wuppertal,0.023059844970703125,RRm,year,precipitation,mm day-1,7
05154_Kleve,0.035854339599609375,RRm,year,precipitation,mm day-1,7
05158_Mettmann,0.047067880630493164,RRm,year,precipitation,mm day-1,7
05162_Rhein-Kreis Neuss,0.03352475166320801,RRm,year,precipitation,mm day-1,7
05166_Viersen,0.03340864181518555,RRm,year,precipitation,mm day-1,7
05170_Wesel,0.037079572677612305,RRm,year,precipitation,mm day-1,7
05314_05382_Region_um_Bonn,0.055692434310913086,RRm,year,precipitation,mm day-1,7
