region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.10236167907714844,RRm,year,precipitation,mm day-1,7
01001_Flensburg,-0.11023616790771484,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.12418091297149658,RRm,year,precipitation,mm day-1,7
01002_Kiel,-0.13587093353271484,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.1160811185836792,RRm,year,precipitation,mm day-1,7
01003_Lübeck,-0.13114893436431885,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.13392317295074463,RRm,year,precipitation,mm day-1,7
01004_Neumünster,-0.12193632125854492,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,-0.10701918601989746,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,-0.12741076946258545,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,-0.16410255432128906,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,-0.1278151273727417,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,-0.13077962398529053,RRm,year,precipitation,mm day-1,7
01057_Plön,-0.15765166282653809,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,-0.10685575008392334,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,-0.10243427753448486,RRm,year,precipitation,mm day-1,7
01060_Segeberg,-0.15924251079559326,RRm,year,precipitation,mm day-1,7
01061_Steinburg,-0.11839354038238525,RRm,year,precipitation,mm day-1,7
01062_Stormarn,-0.16441476345062256,RRm,year,precipitation,mm day-1,7
02000_Hamburg,-0.13837552070617676,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.13423442840576172,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,-0.11827683448791504,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.16862010955810547,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,-0.16797113418579102,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.1281667947769165,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,-0.14168846607208252,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,-0.13331735134124756,RRm,year,precipitation,mm day-1,7
03153_Goslar,-0.23636627197265625,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,-0.12780439853668213,RRm,year,precipitation,mm day-1,7
03155_Northeim,-0.18698275089263916,RRm,year,precipitation,mm day-1,7
03157_Peine,-0.13368189334869385,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,-0.14887070655822754,RRm,year,precipitation,mm day-1,7
03159_Göttingen,-0.1799088716506958,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,-0.15944397449493408,RRm,year,precipitation,mm day-1,7
03251_Diepholz,-0.12168920040130615,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,-0.188773512840271,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,-0.1756298542022705,RRm,year,precipitation,mm day-1,7
03255_Holzminden,-0.18825161457061768,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),-0.12301301956176758,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,-0.1908125877380371,RRm,year,precipitation,mm day-1,7
03351_Celle,-0.14299845695495605,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,-0.12581777572631836,RRm,year,precipitation,mm day-1,7
03353_Harburg,-0.16383576393127441,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,-0.0912787914276123,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,-0.12394070625305176,RRm,year,precipitation,mm day-1,7
03356_Osterholz,-0.12581706047058105,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),-0.1457664966583252,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,-0.14493703842163086,RRm,year,precipitation,mm day-1,7
03359_Stade,-0.14612579345703125,RRm,year,precipitation,mm day-1,7
03360_Uelzen,-0.12389600276947021,RRm,year,precipitation,mm day-1,7
03361_Verden,-0.1329716444015503,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.11773467063903809,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,-0.1337071657180786,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,-0.15265536308288574,RRm,year,precipitation,mm day-1,7
