region,RRm_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.13557215,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.121148616,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.14182,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.12825899,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.12756442,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.12323782,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.14019985,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.15047213,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.23833017,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.12127526,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.20009407,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.13332486,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.15218054,RRm,year,precipitation,mm day-1,7
01057_Plön,0.13300087,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.146971,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.13595048,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.1354897,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.17903283,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.123330705,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.13563061,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.13206986,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.13913046,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.13952623,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.13680644,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.12890106,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.12678206,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.12911539,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.14780633,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.12905566,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.14108282,RRm,year,precipitation,mm day-1,7
03157_Peine,0.13573219,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.13666497,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.14946423,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.1339055,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.121858194,RRm,year,precipitation,mm day-1,7
