region,RRm_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4854402542114258,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.5070390701293945,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.40776658058166504,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.3862001895904541,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.38939857482910156,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.3859822750091553,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.4024369716644287,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.41781091690063477,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.8895876407623291,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.3690497875213623,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.9117882251739502,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.4034550189971924,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.45334744453430176,RRm,year,precipitation,mm day-1,7
01057_Plön,0.38499903678894043,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.4297611713409424,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.48487401008605957,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.41042280197143555,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.5418553352355957,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.3950357437133789,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.42442750930786133,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.3859729766845703,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.4471099376678467,RRm,year,precipitation,mm day-1,7
