region,RRm_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.20857775211334229,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.2046370506286621,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.182461678981781,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.16990023851394653,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.17361187934875488,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.1742396354675293,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.17822861671447754,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.173736572265625,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.30831074714660645,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.1748986840248108,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.2621702551841736,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.16891127824783325,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.19672143459320068,RRm,year,precipitation,mm day-1,7
01057_Plön,0.17647409439086914,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.19410771131515503,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.20880091190338135,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.16453903913497925,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.22321701049804688,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.15761876106262207,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.17671257257461548,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.14501404762268066,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.1443556547164917,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.15200936794281006,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.15705585479736328,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.1460583209991455,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.13923358917236328,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.14738214015960693,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.12152349948883057,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.1506388783454895,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.16303515434265137,RRm,year,precipitation,mm day-1,7
03157_Peine,0.15357983112335205,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.1539311408996582,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.17569506168365479,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.14461368322372437,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.1364220380783081,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.1416475772857666,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.16540420055389404,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.15677177906036377,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.13512814044952393,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.12647855281829834,RRm,year,precipitation,mm day-1,7
03351_Celle,0.16110169887542725,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.2195478081703186,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.1660829782485962,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.1565038561820984,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.1566709280014038,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.15514326095581055,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.1725097894668579,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.17190730571746826,RRm,year,precipitation,mm day-1,7
03359_Stade,0.20142030715942383,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.1466202735900879,RRm,year,precipitation,mm day-1,7
03361_Verden,0.16126000881195068,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.146869957447052,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.1459115743637085,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.20541012287139893,RRm,year,precipitation,mm day-1,7
03402_Emden,0.22578978538513184,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.16287124156951904,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.1553100347518921,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.15972697734832764,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.159648597240448,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.1754591464996338,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.2012714147567749,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.16410529613494873,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.21792054176330566,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.15646517276763916,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.15284281969070435,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.1704532504081726,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.14355313777923584,RRm,year,precipitation,mm day-1,7
03457_Leer,0.17795002460479736,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.15790224075317383,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.15087580680847168,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.14070868492126465,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.16706734895706177,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.20281589031219482,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.17492759227752686,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.14706647396087646,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.20762121677398682,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.18889856338500977,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.18826830387115479,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.20637857913970947,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.1770261526107788,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.17922604084014893,RRm,year,precipitation,mm day-1,7
