region,RRm_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.2499833106994629,RRm,year,precipitation,mm day-1,7
01001_Flensburg,-0.2584397792816162,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.1897573471069336,RRm,year,precipitation,mm day-1,7
01002_Kiel,-0.18372559547424316,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.1386505365371704,RRm,year,precipitation,mm day-1,7
01003_Lübeck,-0.12488257884979248,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.1876811981201172,RRm,year,precipitation,mm day-1,7
01004_Neumünster,-0.15830540657043457,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,-0.2586174011230469,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,-0.14531981945037842,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,-0.20781302452087402,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,-0.1468104124069214,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,-0.2368476390838623,RRm,year,precipitation,mm day-1,7
01057_Plön,-0.1638115644454956,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,-0.2030184268951416,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,-0.24976134300231934,RRm,year,precipitation,mm day-1,7
01060_Segeberg,-0.18421220779418945,RRm,year,precipitation,mm day-1,7
01061_Steinburg,-0.23225188255310059,RRm,year,precipitation,mm day-1,7
01062_Stormarn,-0.18368303775787354,RRm,year,precipitation,mm day-1,7
02000_Hamburg,-0.21795058250427246,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.12766635417938232,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,-0.1324828863143921,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.16604363918304443,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,-0.11519885063171387,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.13221943378448486,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,-0.12719249725341797,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,-0.12533724308013916,RRm,year,precipitation,mm day-1,7
03153_Goslar,-0.43738269805908203,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,-0.15771865844726562,RRm,year,precipitation,mm day-1,7
03155_Northeim,-0.17911577224731445,RRm,year,precipitation,mm day-1,7
03157_Peine,-0.11938869953155518,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,-0.121490478515625,RRm,year,precipitation,mm day-1,7
03159_Göttingen,-0.2379603385925293,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,-0.13518989086151123,RRm,year,precipitation,mm day-1,7
03251_Diepholz,-0.17319536209106445,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,-0.17888402938842773,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,-0.146223783493042,RRm,year,precipitation,mm day-1,7
03255_Holzminden,-0.19497525691986084,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),-0.16147565841674805,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,-0.16352331638336182,RRm,year,precipitation,mm day-1,7
03351_Celle,-0.14739620685577393,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,-0.2812166213989258,RRm,year,precipitation,mm day-1,7
03353_Harburg,-0.22319984436035156,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,-0.10828006267547607,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,-0.15701639652252197,RRm,year,precipitation,mm day-1,7
03356_Osterholz,-0.26762378215789795,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),-0.24347960948944092,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,-0.18496263027191162,RRm,year,precipitation,mm day-1,7
03359_Stade,-0.25311970710754395,RRm,year,precipitation,mm day-1,7
03360_Uelzen,-0.13806772232055664,RRm,year,precipitation,mm day-1,7
03361_Verden,-0.18974506855010986,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.21682965755462646,RRm,year,precipitation,mm day-1,7
