region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.3993343114852905,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.5809819102287292,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.9154385328292847,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.8896007537841797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.5740729570388794,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,1.2348653078079224,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.3685321807861328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.5218116641044617,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.5104846358299255,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.6170316338539124,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.40196654200553894,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.9408950209617615,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.8868523836135864,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,1.1290059089660645,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,1.5224401950836182,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,1.8231213092803955,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,1.7878283262252808,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,1.8677093982696533,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,1.751828670501709,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,1.3301490545272827,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.9562391042709351,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,1.644843578338623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,1.374070644378662,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,1.7986345291137695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,1.644327163696289,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,1.7456870079040527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,1.4416794776916504,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,1.2535595893859863,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,1.5903185606002808,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,1.1458702087402344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,1.1879825592041016,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),1.679868221282959,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
