region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.23237955570220947,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,-0.19090837240219116,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,-0.439487099647522,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,-0.046192705631256104,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,-0.10030722618103027,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.8200149536132812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,-0.10537028312683105,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,-0.15180987119674683,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,-0.24765461683273315,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,-0.05734837055206299,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,-0.07274951040744781,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,-0.12790167331695557,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,-0.17459702491760254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,-0.29258668422698975,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,-0.4288034439086914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.5683610439300537,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.43036043643951416,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-1.1987193822860718,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-1.167746901512146,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,-0.12308681011199951,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.0762479305267334,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.716881275177002,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,-0.1112222671508789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.5331413745880127,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.4581584930419922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,-0.4077345132827759,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,-0.4280283451080322,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,-0.10190320014953613,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,-0.045382142066955566,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,-0.20019447803497314,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,-0.2013779878616333,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),-0.2795048952102661,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,-0.029575467109680176,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,-0.5247114896774292,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,-1.0236490964889526,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,-0.3342617154121399,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,-2.3054466247558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,-1.2090637683868408,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,-1.0781456232070923,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),-0.5637756586074829,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,-0.18535751104354858,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,-0.3946906328201294,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,-0.9472160339355469,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,-0.5103287696838379,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,-0.3670632839202881,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,-0.026460647583007812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),-0.6892861127853394,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.021796762943267822,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,-0.07980084419250488,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,-0.6182820796966553,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,-0.07457733154296875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,-0.3160114288330078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,-0.052843689918518066,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,-0.23420685529708862,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,-0.04788726568222046,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,-0.2653677463531494,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,-0.5991761684417725,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,-0.012951314449310303,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,-0.17006778717041016,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
