region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,11.944388389587402,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,14.018880844116211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,16.575820922851562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,17.211591720581055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,13.505260467529297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,20.617176055908203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,9.997941970825195,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,12.06979751586914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,13.060276985168457,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,14.226747512817383,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,11.589024543762207,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,17.717967987060547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,16.75531005859375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,19.355634689331055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,20.015531539916992,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,26.650150299072266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,26.843210220336914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,26.135570526123047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,25.476165771484375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,24.666580200195312,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,20.188823699951172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,26.420663833618164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,25.019283294677734,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,26.489078521728516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,26.8433837890625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,25.230833053588867,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,21.988752365112305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,24.171594619750977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,25.450910568237305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,23.90768051147461,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,18.475982666015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),23.763870239257812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,24.306285858154297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,23.856027603149414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,15.808884620666504,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,20.777057647705078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,24.910999298095703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,22.82396697998047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,18.99633026123047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),19.825645446777344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,22.172107696533203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,17.92111587524414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,23.055023193359375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,21.971527099609375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,20.079872131347656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,12.10353946685791,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
