region,SU30_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.5646698474884033,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.9219959378242493,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.7698698043823242,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,1.3095922470092773,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.885938286781311,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,2.0328967571258545,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.5301327705383301,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.7703943252563477,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.9544318914413452,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,1.0208349227905273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.5760014057159424,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,1.640486717224121,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,1.345110535621643,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,1.9147348403930664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,2.245217800140381,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,3.42083740234375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,3.204586982727051,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,2.993741989135742,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,2.9396402835845947,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,1.8324370384216309,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,1.3084542751312256,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,2.7468106746673584,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,2.2600929737091064,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,3.422297716140747,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,3.2274374961853027,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,3.2604827880859375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,2.761930465698242,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,2.278228998184204,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,2.8902034759521484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,1.86038339138031,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,1.7081327438354492,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),3.1639676094055176,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,2.9110124111175537,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,2.6575639247894287,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,1.3331526517868042,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,2.1389923095703125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,2.6356053352355957,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,2.3010597229003906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,2.3234517574310303,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),2.309467315673828,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,2.3710296154022217,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,1.685556411743164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,2.335106611251831,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,2.6146719455718994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,2.5438029766082764,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.8714237213134766,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),2.2685344219207764,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,2.3516297340393066,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.5774999260902405,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,1.9696571826934814,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,0.7213085889816284,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,2.2830305099487305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,2.4121031761169434,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,1.0391268730163574,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,2.419893264770508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,1.6508387327194214,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,2.3395142555236816,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,2.7531256675720215,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,2.7988154888153076,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,1.7014511823654175,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,0.6902966499328613,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,2.5498805046081543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,1.3299757242202759,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
