region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.8376984596252441,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.8013004660606384,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,1.2389869689941406,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,1.1169424057006836,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.9189449548721313,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.7916536331176758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.474205732345581,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,1.970319151878357,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,1.3889436721801758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,2.4800682067871094,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.7873791456222534,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,1.0369279384613037,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,2.2260866165161133,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,1.0986360311508179,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,1.315718650817871,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.8386532068252563,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,2.038111448287964,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,1.9674216508865356,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,2.3954615592956543,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,2.5103302001953125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.208289384841919,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,3.484768867492676,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.7305033206939697,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,3.267108678817749,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,3.105192184448242,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,3.1800293922424316,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,3.089778423309326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,1.4065911769866943,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,3.130053997039795,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,2.5338282585144043,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,3.453280448913574,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,3.283461570739746,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,2.4180150032043457,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,3.1985700130462646,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,2.861328601837158,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,2.7625184059143066,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,2.91331148147583,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,2.3912854194641113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),3.2219042778015137,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,2.906440258026123,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,2.8763175010681152,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,2.061931610107422,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,2.6241307258605957,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,3.004819631576538,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,2.794776439666748,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,2.5611495971679688,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),2.7249577045440674,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,2.733227252960205,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,2.2749249935150146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,2.7967941761016846,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,3.1527886390686035,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,2.545781135559082,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,2.722451686859131,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,1.4293184280395508,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,1.0275309085845947,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),2.1663973331451416,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),2.238518238067627,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,2.6300721168518066,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,2.5365922451019287,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,1.2993499040603638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.8844271302223206,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,2.1116411685943604,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,1.1629317998886108,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,2.564668655395508,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,2.4454407691955566,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,1.4233733415603638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,2.5385665893554688,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,1.8097411394119263,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,2.5836434364318848,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,2.586820602416992,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,2.761085033416748,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,1.7029013633728027,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,1.271354079246521,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,2.4595274925231934,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,2.6548614501953125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,1.956146240234375,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,2.0914225578308105,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,3.4139301776885986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,3.7272682189941406,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,3.2836055755615234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,3.86909556388855,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,3.109327554702759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,2.970707416534424,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,3.3026158809661865,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,3.502004623413086,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,3.024129867553711,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,2.9377193450927734,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,3.1906232833862305,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,2.9541521072387695,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,3.3017053604125977,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,3.776805877685547,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.7816650867462158,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,1.4073673486709595,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,2.3063154220581055,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,2.229679822921753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.873559594154358,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,1.7962939739227295,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,2.8477370738983154,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,2.859158515930176,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,3.5045504570007324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,3.018122673034668,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,3.191230535507202,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
