region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.11545024,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.08723888,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.20243558,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.18689159,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.34440243,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.3347037,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.24589966,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.3165348,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.2053768,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,0.47593477,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.095386274,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.15101817,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.4071516,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.18125153,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.21385624,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.116190135,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.35136887,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.306045,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.41618693,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.4748663,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.6478011,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,0.68770117,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.4847993,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,0.5961247,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,0.6562712,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,0.6613819,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,0.6650037,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.20530446,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,0.63430995,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.40679902,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,0.67681664,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,0.6035274,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.35124296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,0.6413859,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.5092126,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.4336389,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.4981598,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,0.37547454,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),0.6064465,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.48660922,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,0.6286149,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.29386407,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,0.48579946,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,0.69667476,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,0.5862779,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,0.404398,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),0.45323473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,0.5374185,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,0.36566082,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,0.59018064,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,0.5176652,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.44015938,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,0.4649482,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,0.22601491,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.18764563,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.35079086,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),0.36817053,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,0.54488623,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.47915897,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,0.19628108,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.13370031,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,0.32225326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,0.18653323,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,0.40313804,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,0.44920486,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,0.20730552,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,0.53460497,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,0.27841574,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,0.4208812,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,0.5084736,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,0.49769676,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,0.2854582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,0.18668848,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.40249753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,0.46717146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,0.29123604,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,0.28227958,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.8166589,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,0.8819299,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.77693295,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,0.89570826,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.69050825,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,0.6679399,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.79211277,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,0.8384769,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.7500951,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,0.7156607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.74959964,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,0.74604404,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.77289397,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,0.86746806,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.3572672,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,0.25823152,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.54509085,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,0.5312717,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.377105,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,0.33985513,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,0.69751763,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,0.68621445,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,0.8526687,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,0.7501249,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,0.7520837,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_05382_Region_um_Bonn,0.59582454,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,0.7199468,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,0.991424,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_05315_05378_05158_Region_um_Leverkusen,0.7406087,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,0.86305934,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,0.25676078,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,0.47746286,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,0.8175023,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,0.20137082,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,0.6660754,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,0.26082236,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,0.54346365,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,0.58027387,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.7817918,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,0.8702844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.7839583,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,0.8632226,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_05566_05558_05570_Region_um_Münster,0.6387526,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,0.70384336,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,0.6365538,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,0.6733638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,0.8222655,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,0.5921448,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,0.6577883,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_05754_05758_05766_Region_um_Bielefeld,0.49599186,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,0.5556893,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,0.6158479,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,0.48445365,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,0.3712551,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,0.3947681,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
