region,SU35_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.012061763554811478,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.059381768107414246,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.03333333507180214,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.1488121747970581,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.11558489501476288,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.06176241487264633,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.0994684174656868,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.04463477060198784,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,0.21156276762485504,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.009572183713316917,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.04792305827140808,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.1274169385433197,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.0386732742190361,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.06431911885738373,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.011503886431455612,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.08337340503931046,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.08054781705141068,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.1769399642944336,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.20379486680030823,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.3057480752468109,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,0.32868698239326477,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.16089773178100586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,0.25374025106430054,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,0.34504854679107666,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,0.26730337738990784,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,0.3588504195213318,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.06330515444278717,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,0.248090922832489,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.1371135115623474,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,0.32416629791259766,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,0.2158375382423401,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.11996214836835861,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,0.2942446172237396,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.16035425662994385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.1281644105911255,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.153170645236969,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,0.08833920210599899,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),0.2799760401248932,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.18505586683750153,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,0.35584893822669983,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.05838119983673096,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,0.19288238883018494,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,0.3029540479183197,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,0.24777135252952576,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,0.12134569138288498,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),0.14332225918769836,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,0.22766532003879547,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,0.11437381058931351,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,0.22664234042167664,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,0.15319690108299255,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.1246626228094101,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,0.12209717184305191,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,0.03771702200174332,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.041663482785224915,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.08818817883729935,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),0.11074519902467728,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,0.2258441299200058,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.2066657692193985,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,0.043709900230169296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.02580668404698372,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,0.06701108813285828,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,0.027320683002471924,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,0.10360587388277054,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,0.15040181577205658,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,0.04350778087973595,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,0.21803799271583557,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,0.052812349051237106,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,0.12795142829418182,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,0.20700888335704803,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,0.13337847590446472,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,0.0759216770529747,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,0.043938033282756805,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.10610071569681168,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,0.1508854776620865,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,0.06556256860494614,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,0.04360351338982582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.40402743220329285,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,0.4817441701889038,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.3921794593334198,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,0.5462788343429565,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.425133615732193,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,0.34241241216659546,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.3767653703689575,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,0.40975573658943176,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.3754832148551941,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,0.36920392513275146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.40184950828552246,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,0.3762434720993042,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.4052278399467468,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
