region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_4C_rcp85_ensemble-robustness
01001_01059_Region_um_Flensburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01001_Flensburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01002_01057_01058_Region_um_Kiel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01002_Kiel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01003_13074_01055_01053_01062_Region_um_Lübeck,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01003_Lübeck,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01004_01058_01060_01057_01002_Region_um_Neumünster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01004_Neumünster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01051_Dithmarschen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01053_Herzogtum Lauenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01054_Nordfriesland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01055_Ostholstein,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01056_Pinneberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01057_Plön,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01058_Rendsburg-Eckernförde,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01059_Schleswig-Flensburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01060_Segeberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01061_Steinburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01062_Stormarn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
02000_Hamburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03101_Braunschweig,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03102_Salzgitter,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03103_03154_03151_Region_um_Wolfsburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03103_Wolfsburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03151_Gifhorn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03153_Goslar,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03154_Helmstedt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03155_Northeim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03157_Peine,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03158_Wolfenbüttel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03159_Göttingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03241_Region Hannover,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03251_Diepholz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03252_Hameln-Pyrmont,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03254_Hildesheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03255_Holzminden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03256_Nienburg (Weser),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03257_Schaumburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03351_Celle,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03352_Cuxhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03353_Harburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03354_Lüchow-Dannenberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03355_Lüneburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03356_Osterholz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03357_Rotenburg (Wümme),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03358_Heidekreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03359_Stade,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03360_Uelzen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03361_Verden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03401_03458_04011_03251_03461_Region_um_Delmenhorst,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03401_Delmenhorst,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03402_03452_03457_Region_um_Emden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03402_Emden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03403_Oldenburg (Oldb),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03404_03459_05566_Region_um_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03404_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03405_03455_Region_um_Wilhelmshaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03405_Wilhelmshaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03451_Ammerland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03452_Aurich,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03453_Cloppenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03454_Emsland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03455_Friesland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03456_Grafschaft Bentheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03457_Leer,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03458_Oldenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03459_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03460_Vechta,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03461_Wesermarsch,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03462_Wittmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
04011_Bremen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
04012_03352_03461_Region_um_Bremerhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
04012_Bremerhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05111_05162_05158_05112_Region_um_Düsseldorf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
