region,SU35_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.76088315,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.6892666,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,1.1505227,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,1.1233925,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.773839,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.7501615,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.3450309,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,1.6694151,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,1.1268554,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,2.3847704,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.6296755,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.8900746,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,2.0911946,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,1.0337383,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,1.2102083,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.76276135,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,1.8165218,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,1.6353153,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,2.1365273,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,2.4545162,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.5866535,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,3.7734463,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.0121806,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,3.472344,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,3.5784237,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,3.616715,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,3.5829654,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,1.8588986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,3.5559871,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,2.9319315,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,3.7166274,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,3.5047905,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,2.7558758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,3.5258515,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,2.9582162,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,2.8083532,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,3.1164067,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,2.6634607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),3.310296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
