realization,region,DD_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DD,01001_01059_Region_um_Flensburg,224.24843,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01001_Flensburg,222.46085,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01002_01057_01058_Region_um_Kiel,224.44548,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01002_Kiel,228.0318,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01003_13074_01055_01053_01062_Region_um_Lübeck,232.60756,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01003_Lübeck,234.5845,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01004_01058_01060_01057_01002_Region_um_Neumünster,223.7478,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01004_Neumünster,222.57855,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01051_Dithmarschen,219.09195,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01053_Herzogtum Lauenburg,229.11575,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01054_Nordfriesland,222.07347,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01055_Ostholstein,234.03125,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01056_Pinneberg,223.16953,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01057_Plön,228.7071,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01058_Rendsburg-Eckernförde,222.2282,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01059_Schleswig-Flensburg,224.29568,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01060_Segeberg,222.10269,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01061_Steinburg,218.37718,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,01062_Stormarn,224.49232,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,02000_Hamburg,226.57262,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,233.61583,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03101_Braunschweig,236.12701,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,223.29631,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03102_Salzgitter,227.13483,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03103_03154_03151_Region_um_Wolfsburg,235.25272,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03103_Wolfsburg,236.5444,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03151_Gifhorn,233.76768,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03153_Goslar,207.89742,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03154_Helmstedt,238.31955,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03155_Northeim,218.5203,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03157_Peine,232.39404,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03158_Wolfenbüttel,230.33492,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03159_Göttingen,217.79213,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03241_Region Hannover,231.0522,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03251_Diepholz,226.9041,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03252_Hameln-Pyrmont,217.92093,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03254_Hildesheim,224.53932,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03255_Holzminden,216.06166,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03256_Nienburg (Weser),228.41388,DD,year,days_with_precipitation_amount_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_DD,03257_Schaumburg,222.1209,DD,year,days_with_precipitation_amount_below_threshold,days,7
