realization,region,DSf_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DSf,01001_01059_Region_um_Flensburg,15.874785,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01001_Flensburg,15.643795,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01002_01057_01058_Region_um_Kiel,15.982071,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01002_Kiel,16.291721,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01003_13074_01055_01053_01062_Region_um_Lübeck,16.882574,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01003_Lübeck,17.085289,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01004_01058_01060_01057_01002_Region_um_Neumünster,15.947157,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01004_Neumünster,15.829199,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01051_Dithmarschen,15.739396,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01053_Herzogtum Lauenburg,16.824272,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01054_Nordfriesland,15.780027,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01055_Ostholstein,16.811815,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01056_Pinneberg,16.048656,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01057_Plön,16.353752,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01058_Rendsburg-Eckernförde,15.788866,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01059_Schleswig-Flensburg,15.880896,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01060_Segeberg,15.86842,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01061_Steinburg,15.575963,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,01062_Stormarn,16.190046,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,02000_Hamburg,16.4874,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,17.842308,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03101_Braunschweig,18.126305,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,16.889906,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03102_Salzgitter,17.161917,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03103_03154_03151_Region_um_Wolfsburg,17.947407,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03103_Wolfsburg,18.268236,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03151_Gifhorn,17.817373,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03153_Goslar,15.342276,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03154_Helmstedt,18.151724,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03155_Northeim,16.135855,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03157_Peine,18.099497,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03158_Wolfenbüttel,17.4371,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03159_Göttingen,15.888869,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03241_Region Hannover,17.619907,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03251_Diepholz,16.943682,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03252_Hameln-Pyrmont,16.404724,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03254_Hildesheim,17.012417,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03255_Holzminden,15.948394,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03256_Nienburg (Weser),17.011923,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03257_Schaumburg,16.819756,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03351_Celle,17.057985,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03352_Cuxhaven,16.064182,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03353_Harburg,16.47349,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03354_Lüchow-Dannenberg,17.824354,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03355_Lüneburg,17.106424,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03356_Osterholz,16.59693,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03357_Rotenburg (Wümme),16.444113,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03358_Heidekreis,16.420872,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03359_Stade,16.055765,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03360_Uelzen,17.282314,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03361_Verden,16.682497,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03401_03458_04011_03251_03461_Region_um_Delmenhorst,16.683617,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03401_Delmenhorst,16.512098,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03402_03452_03457_Region_um_Emden,16.181238,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03402_Emden,16.207893,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),16.343641,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03403_Oldenburg (Oldb),15.876882,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03404_03459_05566_Region_um_Osnabrück,16.085546,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03404_Osnabrück,16.036097,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03405_03455_Region_um_Wilhelmshaven,16.527819,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03405_Wilhelmshaven,16.587652,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,03451_Ammerland,16.245205,DSf,year,dry_spell_frequency,,7
