realization,region,FD_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_FD,01001_01059_Region_um_Flensburg,70.72358,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01001_Flensburg,70.35897,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01002_01057_01058_Region_um_Kiel,70.29568,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01002_Kiel,68.15155,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01003_13074_01055_01053_01062_Region_um_Lübeck,72.475136,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01003_Lübeck,72.98996,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01004_01058_01060_01057_01002_Region_um_Neumünster,71.701614,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01004_Neumünster,71.300995,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01051_Dithmarschen,69.271835,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01053_Herzogtum Lauenburg,78.47753,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01054_Nordfriesland,70.26046,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01055_Ostholstein,68.409996,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01056_Pinneberg,74.166336,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01057_Plön,67.38152,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01058_Rendsburg-Eckernförde,71.79445,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01059_Schleswig-Flensburg,70.73321,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01060_Segeberg,75.18335,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01061_Steinburg,71.53377,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,01062_Stormarn,75.760155,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,02000_Hamburg,66.11099,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,73.11407,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03101_Braunschweig,68.74946,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,78.32248,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03102_Salzgitter,70.74059,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03103_03154_03151_Region_um_Wolfsburg,74.66362,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03103_Wolfsburg,70.70321,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03151_Gifhorn,75.446144,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03153_Goslar,100.8326,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03154_Helmstedt,74.061455,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03155_Northeim,80.04899,FD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_FD,03157_Peine,69.116585,FD,year,days_with_air_temperature_below_threshold,days,7
