realization,region,HSf3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSf3,01001_01059_Region_um_Flensburg,0.051092483,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01001_Flensburg,0.033333335,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01002_01057_01058_Region_um_Kiel,0.13362557,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01002_Kiel,0.099600695,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01003_13074_01055_01053_01062_Region_um_Lübeck,0.21563323,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01003_Lübeck,0.25087017,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01004_01058_01060_01057_01002_Region_um_Neumünster,0.16941556,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01004_Neumünster,0.212708,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01051_Dithmarschen,0.09667721,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01053_Herzogtum Lauenburg,0.39945692,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01054_Nordfriesland,0.065842375,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01055_Ostholstein,0.07503302,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01056_Pinneberg,0.33434752,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01057_Plön,0.098071,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01058_Rendsburg-Eckernförde,0.15235592,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01059_Schleswig-Flensburg,0.05156224,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01060_Segeberg,0.25481987,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01061_Steinburg,0.22395998,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,01062_Stormarn,0.36852425,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,02000_Hamburg,0.3604706,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.48234203,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03101_Braunschweig,0.33726493,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.24917583,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03102_Salzgitter,0.28223595,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03103_03154_03151_Region_um_Wolfsburg,0.59760183,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03103_Wolfsburg,0.6718476,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03151_Gifhorn,0.6304458,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03153_Goslar,0.08496664,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03154_Helmstedt,0.49799505,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03155_Northeim,0.31456175,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03157_Peine,0.34843466,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03158_Wolfenbüttel,0.2939578,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03159_Göttingen,0.23741311,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03241_Region Hannover,0.4398802,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03251_Diepholz,0.521295,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03252_Hameln-Pyrmont,0.26780376,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03254_Hildesheim,0.28917733,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03255_Holzminden,0.20895103,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03256_Nienburg (Weser),0.6117775,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03257_Schaumburg,0.3723889,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03351_Celle,0.53809345,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03352_Cuxhaven,0.14553523,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03353_Harburg,0.30519825,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03354_Lüchow-Dannenberg,0.5688565,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03355_Lüneburg,0.44253778,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03356_Osterholz,0.22205274,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03357_Rotenburg (Wümme),0.38890845,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03358_Heidekreis,0.46266744,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03359_Stade,0.2595883,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03360_Uelzen,0.48739234,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03361_Verden,0.5149034,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.39764643,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03401_Delmenhorst,0.3288463,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03402_03452_03457_Region_um_Emden,0.14702518,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03402_Emden,0.14691639,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.2752244,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03403_Oldenburg (Oldb),0.37992892,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03404_03459_05566_Region_um_Osnabrück,0.5087631,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03404_Osnabrück,0.4132585,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03405_03455_Region_um_Wilhelmshaven,0.08407374,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03405_Wilhelmshaven,0.033333335,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03451_Ammerland,0.23995323,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03452_Aurich,0.09704609,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03453_Cloppenburg,0.34388524,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03454_Emsland,0.38189667,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03455_Friesland,0.09047507,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03456_Grafschaft Bentheim,0.46474308,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03457_Leer,0.20585588,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03458_Oldenburg,0.38458556,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03459_Osnabrück,0.48040098,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03460_Vechta,0.4777471,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03461_Wesermarsch,0.1477945,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,03462_Wittmund,0.068039574,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.31843278,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,04011_Bremen,0.29933378,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,04012_03352_03461_Region_um_Bremerhaven,0.14598005,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,04012_Bremerhaven,0.13852325,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05111_05162_05158_05112_Region_um_Düsseldorf,0.8705252,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05111_Düsseldorf,0.96130717,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.8702997,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05112_Duisburg,1.1982522,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.6134673,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05113_Essen,0.5845053,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05114_05112_05162_05166_05170_Region_um_Krefeld,0.85145533,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05114_Krefeld,1.0331423,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05116_05370_05166_05162_Region_um_Mönchengladbach,0.69221747,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05116_Mönchengladbach,0.6806262,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.79489213,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05117_Mülheim an der Ruhr,0.76767594,HSf3,year,hot_spell_frequency,,7
