realization,region,HSx3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSx3,01001_01059_Region_um_Flensburg,0.23189658,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01001_Flensburg,0.16666667,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01002_01057_01058_Region_um_Kiel,0.48352513,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01002_Kiel,0.3984965,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01003_13074_01055_01053_01062_Region_um_Lübeck,0.6874004,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01003_Lübeck,0.8381046,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01004_01058_01060_01057_01002_Region_um_Neumünster,0.61336076,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01004_Neumünster,0.81975734,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01051_Dithmarschen,0.3740364,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01053_Herzogtum Lauenburg,1.208263,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01054_Nordfriesland,0.26144356,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01055_Ostholstein,0.28016904,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01056_Pinneberg,0.9810572,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01057_Plön,0.32896167,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01058_Rendsburg-Eckernförde,0.56139773,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01059_Schleswig-Flensburg,0.23362203,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01060_Segeberg,0.9202046,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01061_Steinburg,0.7289459,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,01062_Stormarn,1.165373,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,02000_Hamburg,1.1224625,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.5173165,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03101_Braunschweig,1.1994827,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.8638938,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03102_Salzgitter,0.9955387,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03103_03154_03151_Region_um_Wolfsburg,1.8040916,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03103_Wolfsburg,1.974469,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03151_Gifhorn,1.8818475,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03153_Goslar,0.3300105,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03154_Helmstedt,1.5699455,HSx3,year,hot_spell_duration,days,7
