realization,region,LFD_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_LFD,01001_01059_Region_um_Flensburg,5.5608625,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01001_Flensburg,5.6589494,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01002_01057_01058_Region_um_Kiel,5.144185,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01002_Kiel,4.9401407,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01003_13074_01055_01053_01062_Region_um_Lübeck,4.919912,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01003_Lübeck,5.250503,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01004_01058_01060_01057_01002_Region_um_Neumünster,5.4457603,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01004_Neumünster,5.2312613,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01051_Dithmarschen,5.380792,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01053_Herzogtum Lauenburg,6.3387437,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01054_Nordfriesland,5.7063236,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01055_Ostholstein,4.501199,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01056_Pinneberg,6.6123953,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01057_Plön,4.1953607,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01058_Rendsburg-Eckernförde,5.6042647,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01059_Schleswig-Flensburg,5.558268,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01060_Segeberg,6.200363,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01061_Steinburg,5.8046603,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,01062_Stormarn,6.015489,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,02000_Hamburg,4.051776,LFD,year,days_with_air_temperature_below_threshold,days,7
