realization,region,RRm_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_RRm,01001_01059_Region_um_Flensburg,2.1974556,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01001_Flensburg,2.2627957,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01002_01057_01058_Region_um_Kiel,2.1335433,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01002_Kiel,2.0571961,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01003_13074_01055_01053_01062_Region_um_Lübeck,1.8105686,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01003_Lübeck,1.7574432,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01004_01058_01060_01057_01002_Region_um_Neumünster,2.145419,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01004_Neumünster,2.2230659,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01051_Dithmarschen,2.2617815,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01053_Herzogtum Lauenburg,1.9042728,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01054_Nordfriesland,2.187786,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01055_Ostholstein,1.7918301,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01056_Pinneberg,2.0902555,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01057_Plön,1.9907886,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01058_Rendsburg-Eckernförde,2.2053425,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01059_Schleswig-Flensburg,2.1957276,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01060_Segeberg,2.1699378,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01061_Steinburg,2.2528658,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,01062_Stormarn,2.0579548,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,02000_Hamburg,2.0026827,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.6806425,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03101_Braunschweig,1.6241784,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.0215144,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03102_Salzgitter,1.7250065,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03103_03154_03151_Region_um_Wolfsburg,1.6823328,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03103_Wolfsburg,1.611497,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03151_Gifhorn,1.7278028,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03153_Goslar,2.7334795,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03154_Helmstedt,1.5981041,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03155_Northeim,2.1138458,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03157_Peine,1.6960549,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03158_Wolfenbüttel,1.6653653,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03159_Göttingen,2.2550197,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03241_Region Hannover,1.7868549,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03251_Diepholz,1.843501,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03252_Hameln-Pyrmont,2.230106,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03254_Hildesheim,1.9311389,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03255_Holzminden,2.3229597,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03256_Nienburg (Weser),1.8234043,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03257_Schaumburg,2.0033243,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03351_Celle,1.9084263,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03352_Cuxhaven,2.137432,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03353_Harburg,1.9772938,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03354_Lüchow-Dannenberg,1.5598304,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03355_Lüneburg,1.774036,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03356_Osterholz,2.009717,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03357_Rotenburg (Wümme),2.0556808,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03358_Heidekreis,2.0203617,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03359_Stade,2.0794747,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03360_Uelzen,1.7735068,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03361_Verden,1.9016576,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.9101188,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03401_Delmenhorst,1.9044092,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03402_03452_03457_Region_um_Emden,2.1091995,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03402_Emden,2.086619,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),2.0212207,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03403_Oldenburg (Oldb),2.0706797,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03404_03459_05566_Region_um_Osnabrück,2.1166596,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03404_Osnabrück,2.229554,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03405_03455_Region_um_Wilhelmshaven,2.1682138,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03405_Wilhelmshaven,2.217997,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03451_Ammerland,2.1071906,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03452_Aurich,2.152905,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,03453_Cloppenburg,2.0819414,RRm,year,precipitation,mm day-1,7
