realization,region,SU35_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_SU35,01001_01059_Region_um_Flensburg,0.004387373,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01001_Flensburg,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01002_01057_01058_Region_um_Kiel,0.020082273,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01002_Kiel,0.010293686,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01003_13074_01055_01053_01062_Region_um_Lübeck,0.07188395,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01003_Lübeck,0.13515645,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01004_01058_01060_01057_01002_Region_um_Neumünster,0.02741366,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01004_Neumünster,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01051_Dithmarschen,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01053_Herzogtum Lauenburg,0.12736958,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01054_Nordfriesland,0.014930455,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01055_Ostholstein,0.02586452,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01056_Pinneberg,0.04051753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01057_Plön,0.012800151,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01058_Rendsburg-Eckernförde,0.024077823,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01059_Schleswig-Flensburg,0.004503427,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01060_Segeberg,0.04508624,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01061_Steinburg,0.04163904,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,01062_Stormarn,0.121179424,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,02000_Hamburg,0.0749611,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.11617618,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03101_Braunschweig,0.06881731,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.07165803,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
