realization,region,TG_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_TG,01001_01059_Region_um_Flensburg,281.5074,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01001_Flensburg,281.4819,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01002_01057_01058_Region_um_Kiel,281.70743,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01002_Kiel,281.79706,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01003_13074_01055_01053_01062_Region_um_Lübeck,281.808,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01003_Lübeck,281.87225,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01004_01058_01060_01057_01002_Region_um_Neumünster,281.71545,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01004_Neumünster,281.84296,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01051_Dithmarschen,281.73044,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01053_Herzogtum Lauenburg,281.85266,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01054_Nordfriesland,281.57547,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01055_Ostholstein,281.75253,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01056_Pinneberg,281.92493,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01057_Plön,281.7381,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01058_Rendsburg-Eckernförde,281.6879,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01059_Schleswig-Flensburg,281.5081,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01060_Segeberg,281.72748,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01061_Steinburg,281.7493,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,01062_Stormarn,281.79337,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,02000_Hamburg,282.31516,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,282.28558,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03101_Braunschweig,282.41727,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,281.86118,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03102_Salzgitter,282.3365,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03103_03154_03151_Region_um_Wolfsburg,282.2448,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03103_Wolfsburg,282.46588,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03151_Gifhorn,282.21545,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03153_Goslar,280.6724,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03154_Helmstedt,282.24496,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03155_Northeim,281.6584,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03157_Peine,282.4342,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03158_Wolfenbüttel,282.26315,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03159_Göttingen,281.30725,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03241_Region Hannover,282.45404,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03251_Diepholz,282.3795,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03252_Hameln-Pyrmont,282.17194,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03254_Hildesheim,282.1367,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03255_Holzminden,281.6523,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03256_Nienburg (Weser),282.5487,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03257_Schaumburg,282.43497,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03351_Celle,282.0917,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03352_Cuxhaven,282.21838,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03353_Harburg,281.91296,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03354_Lüchow-Dannenberg,282.01324,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03355_Lüneburg,282.03302,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03356_Osterholz,282.1556,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03357_Rotenburg (Wümme),282.04446,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03358_Heidekreis,282.00388,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03359_Stade,281.99188,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03360_Uelzen,281.86588,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03361_Verden,282.3127,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03401_03458_04011_03251_03461_Region_um_Delmenhorst,282.34882,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03401_Delmenhorst,282.38495,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03402_03452_03457_Region_um_Emden,282.2345,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03402_Emden,282.42142,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),282.29572,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03403_Oldenburg (Oldb),282.28992,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03404_03459_05566_Region_um_Osnabrück,282.61908,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03404_Osnabrück,282.59964,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03405_03455_Region_um_Wilhelmshaven,282.22153,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03405_Wilhelmshaven,282.2651,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03451_Ammerland,282.2549,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03452_Aurich,282.22525,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03453_Cloppenburg,282.3254,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03454_Emsland,282.50797,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03455_Friesland,282.21603,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03456_Grafschaft Bentheim,282.64612,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03457_Leer,282.22525,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03458_Oldenburg,282.26254,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03459_Osnabrück,282.5025,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03460_Vechta,282.37265,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03461_Wesermarsch,282.3786,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,03462_Wittmund,282.15524,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,282.3023,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04011_Bremen,282.3577,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04012_03352_03461_Region_um_Bremerhaven,282.2702,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04012_Bremerhaven,282.52838,TG,year,air_temperature,K,7
